Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Status Category,Status Category Changed
Deploy model in cloud run,SCRUM-96,10575,Feature,To Do,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:29 AM,12/Jan/26 10:29 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i000gb:,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:29 AM
Login and signup with reset password feature,SCRUM-95,10574,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:29 AM,13/Jan/26 10:22 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:qx,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:29 AM
Proper error and loading handling,SCRUM-94,10573,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:28 AM,13/Jan/26 10:22 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:qm,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:28 AM
In feedback if no then get left and right image no move further(important),SCRUM-93,10572,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:28 AM,12/Jan/26 12:09 PM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:qr,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:28 AM
implement user feedback section,SCRUM-92,10571,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:27 AM,12/Jan/26 12:08 PM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:qi,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:27 AM
replace roboflow with detection api,SCRUM-91,10570,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:26 AM,12/Jan/26 12:30 PM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:qv,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:26 AM
Hide the location getting state,SCRUM-90,10569,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:26 AM,12/Jan/26 11:52 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:q,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:26 AM
implement pevious camera component,SCRUM-89,10568,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:25 AM,13/Jan/26 10:22 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:o,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:25 AM
Remove details page,SCRUM-88,10567,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:25 AM,13/Jan/26 10:22 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:qy,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:25 AM
Remove coordinates dropdown,SCRUM-87,10566,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,12/Jan/26 10:25 AM,13/Jan/26 10:22 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:qxi,SCRUM Sprint 0,,,,,,,In Progress,12/Jan/26 10:25 AM
whatsapp table in Summary,SCRUM-86,10533,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,08/Jan/26 11:31 AM,13/Jan/26 10:38 AM,,,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,,0|i00086:pi,SCRUM Sprint 0,,,,,08/Jan/26 11:39 AM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/15dQZSDEiqlcolY3omfQDot2Bezh6mI8UdbrAttuSf-k/edit?usp=sharing|https://docs.google.com/document/d/15dQZSDEiqlcolY3omfQDot2Bezh6mI8UdbrAttuSf-k/edit?usp=sharing|smart-link] ,,In Progress,08/Jan/26 11:31 AM
Input Type Issue at OR page,SCRUM-85,10532,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,08/Jan/26 11:30 AM,08/Jan/26 12:03 PM,,,,0,,,"525_ AN,AND 'GOUD'",Nandan,,61ab0edec15977006a0401ae,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,0|i00086:n,SCRUM Sprint 0,,,,,08/Jan/26 12:02 PM;61ab0edec15977006a0401ae;[https://docs.google.com/document/d/1BoQ1d3LIPYgbkD8ktMUFuo0H2sHYK9F2XloMewzk8gw/edit?usp=sharing|https://docs.google.com/document/d/1BoQ1d3LIPYgbkD8ktMUFuo0H2sHYK9F2XloMewzk8gw/edit?usp=sharing|smart-link] ,,In Progress,08/Jan/26 11:30 AM
Search Filter in Admin of Order page FIX,SCRUM-84,10499,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,06/Jan/26 3:20 PM,13/Jan/26 10:38 AM,,,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,,0|i00086:oi,SCRUM Sprint 0,,,,,06/Jan/26 4:45 PM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[[Search Implementation for Orders Page]|https://docs.google.com/document/d/1Uq2AS75Cx4Sdbr-YKs4leCpPloiX8xus9QGFy_4_q3U/edit?usp=sharing] ,,In Progress,06/Jan/26 3:20 PM
excel order id fix,SCRUM-83,10466,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,06/Jan/26 10:13 AM,13/Jan/26 10:38 AM,,,,0,,,Nandan,Vathan,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,712020:26331195-b142-4e76-92ac-0333e0e1fda4,,,,,,,,,,,,,0|i00086:g,SCRUM Sprint 0,,,,,06/Jan/26 11:30 AM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1pcECZkk_O8bFGm_QkTlAsJKRRkMiHUawo9K7QcHPIhc/edit?usp=sharing|https://docs.google.com/document/d/1pcECZkk_O8bFGm_QkTlAsJKRRkMiHUawo9K7QcHPIhc/edit?usp=sharing|smart-link] ,,In Progress,06/Jan/26 10:13 AM
extracted name edit issue fix in order review page,SCRUM-82,10465,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,06/Jan/26 10:12 AM,08/Jan/26 11:34 AM,,,,0,,,"525_ AN,AND 'GOUD'",Vathan,,61ab0edec15977006a0401ae,712020:26331195-b142-4e76-92ac-0333e0e1fda4,,,,,,,,,,,,,0|i00086:k,SCRUM Sprint 0,,,,,06/Jan/26 11:34 AM;61ab0edec15977006a0401ae;[https://docs.google.com/document/d/1ld401ESxkKp3krJ9OT-k4zc_s3F2o3cOC0o1I2M4_go/edit?usp=sharing|https://docs.google.com/document/d/1ld401ESxkKp3krJ9OT-k4zc_s3F2o3cOC0o1I2M4_go/edit?usp=sharing|smart-link] ,,In Progress,06/Jan/26 10:12 AM
whatsapp data page and retry feat,SCRUM-81,10432,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,02/Jan/26 1:47 PM,02/Jan/26 1:47 PM,,,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i00086:d,SCRUM Sprint 0,,,,,,,In Progress,02/Jan/26 1:47 PM
"Media Preview was not working , when manually uploaded files",SCRUM-80,10399,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,30/Dec/25 11:55 AM,30/Dec/25 3:16 PM,,30/Dec/25 3:16 PM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i000cb:,SCRUM Sprint 0,,,,,30/Dec/25 12:40 PM;61ab0edec15977006a0401ae;[https://docs.google.com/document/d/17OlrvkVqvQTzSN0D2NsXiyEcpvCiYODpUoJZgu6Gqs0/edit?usp=sharing|https://docs.google.com/document/d/17OlrvkVqvQTzSN0D2NsXiyEcpvCiYODpUoJZgu6Gqs0/edit?usp=sharing|smart-link] ,,Done,30/Dec/25 3:16 PM
Fix loading problem while creating manual order,SCRUM-79,10398,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,30/Dec/25 10:17 AM,30/Dec/25 3:17 PM,,30/Dec/25 3:17 PM,,0,,,Nandan,Rahul Varma,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,0|i000c7:,SCRUM Sprint 0,,,,,30/Dec/25 11:20 AM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1OgqUaq-B5SoZ_YbWEchJ-hK5zqnGHttHV1zI3ymxl-A/edit?usp=sharing|https://docs.google.com/document/d/1OgqUaq-B5SoZ_YbWEchJ-hK5zqnGHttHV1zI3ymxl-A/edit?usp=sharing|smart-link] ,,Done,30/Dec/25 3:17 PM
Fix Error and confirmation message for user perspective for order pages ,SCRUM-78,10365,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,29/Dec/25 10:39 AM,30/Dec/25 10:09 AM,,30/Dec/25 10:09 AM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i0007s:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:09 AM
Fix error handling in frontend for Order pages,SCRUM-77,10364,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,29/Dec/25 10:39 AM,30/Dec/25 10:12 AM,,30/Dec/25 10:12 AM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i0007t:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:12 AM
Create new user modal for admin only,SCRUM-76,10363,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,29/Dec/25 10:28 AM,29/Dec/25 3:38 PM,,29/Dec/25 3:38 PM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:r,SCRUM Sprint 0,,,,,,,Done,29/Dec/25 3:38 PM
Fix 404 not found error in complete orders page,SCRUM-75,10362,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,29/Dec/25 9:56 AM,30/Dec/25 10:11 AM,,30/Dec/25 10:11 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0007s:i,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:11 AM
Read this blog for css optimization ,SCRUM-74,10329,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:33 PM,30/Dec/25 10:30 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006m:y,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:30 AM
Fix by Make the types file single or features based ,SCRUM-73,10328,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:29 PM,30/Dec/25 10:30 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006m:x,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:30 AM
Use dynamic imports for non critical features,SCRUM-72,10327,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:19 PM,30/Dec/25 10:30 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006m:v,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:30 AM
Use webp images in frontend ,SCRUM-71,10326,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:15 PM,30/Dec/25 3:18 PM,,30/Dec/25 3:18 PM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i000d3:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 3:18 PM
Preview pdf and text,SCRUM-70,10325,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:14 PM,30/Dec/25 10:10 AM,,30/Dec/25 10:10 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0007s:9,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:10 AM
Use asynchronous functions for heavy and timetaking functions,SCRUM-69,10324,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:13 PM,30/Dec/25 10:29 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006m:r,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:29 AM
Use cache for less changeble data ,SCRUM-68,10323,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:13 PM,30/Dec/25 10:28 AM,28/Dec/25 4:33 PM,,,0,[https://blog.logrocket.com/stop-using-js-for-css/|https://blog.logrocket.com/stop-using-js-for-css/|smart-link],,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006l:,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:28 AM
Fix 2 high critical libraries used in packages,SCRUM-67,10322,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:12 PM,30/Dec/25 10:28 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006m:,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:28 AM
Recheck where we can use content-visibility- auto,SCRUM-66,10321,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:10 PM,30/Dec/25 10:28 AM,28/Dec/25 4:32 PM,,,0,Newer CSS features can improve performance. One notable example is content-visibility: auto. This property allows the browser to skip rendering work for off-screen content until it is needed. Using content-visibility: auto on containers far down the page can significantly boost render performance by deferring work for content not yet visible. This means faster initial load and better interaction timing (INP) because the browser isnâ€™t busy painting things the user canâ€™t see yet. Use it for large lists or sections that start off-screen â€“ youâ€™ll reduce memory usage and speed up the parts that matter most to the user.,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006j:,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:28 AM
