Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Status Category,Status Category Changed
Remove unused css,SCRUM-65,10320,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:09 PM,31/Dec/25 10:02 AM,28/Dec/25 4:33 PM,31/Dec/25 10:02 AM,,0,,,"525_ AN,AND 'GOUD'",Vidhya sagar,,61ab0edec15977006a0401ae,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,0|i000cv:,SCRUM Sprint 0,,,,,30/Dec/25 4:38 PM;61ab0edec15977006a0401ae;[https://docs.google.com/document/d/17ZJ8wTpPM4n4WOVkqxx4zFyqpemjgX0k5NvA6RUMMV0/edit?usp=sharing|https://docs.google.com/document/d/17ZJ8wTpPM4n4WOVkqxx4zFyqpemjgX0k5NvA6RUMMV0/edit?usp=sharing|smart-link] ,,Done,31/Dec/25 10:02 AM
"Remove unused imports , libraries , code ",SCRUM-64,10319,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:08 PM,30/Dec/25 10:29 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006m:i,SCRUM Sprint 0,,,,,,,To Do,30/Dec/25 10:29 AM
Remove sensitive information outside environment variables ,SCRUM-63,10318,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:06 PM,31/Dec/25 10:02 AM,,31/Dec/25 10:02 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i000cz:,SCRUM Sprint 0,,,,,,,Done,31/Dec/25 10:02 AM
Check any fetching inside useeffect which needed to be optimised ,SCRUM-62,10317,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:06 PM,30/Dec/25 3:15 PM,,30/Dec/25 3:15 PM,,0,,,"525_ AN,AND 'GOUD'",Nandan,Vidhya sagar,61ab0edec15977006a0401ae,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,0|i000cf:,SCRUM Sprint 0,,,,,30/Dec/25 12:11 PM;61ab0edec15977006a0401ae;[https://docs.google.com/document/d/1lr7KVygRn9S0KkB8HA-hPOOwGWnGExYZaYGbT6pUOwQ/edit?usp=sharing|https://docs.google.com/document/d/1lr7KVygRn9S0KkB8HA-hPOOwGWnGExYZaYGbT6pUOwQ/edit?usp=sharing|smart-link] ,30/Dec/25 12:54 PM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1QU2TbC2xaIIFr72dOl9SzAHhcD9gFGRibAKZjzINMDs/edit?usp=sharing|https://docs.google.com/document/d/1QU2TbC2xaIIFr72dOl9SzAHhcD9gFGRibAKZjzINMDs/edit?usp=sharing|smart-link] ,Done,30/Dec/25 3:15 PM
Documention for worked features ,SCRUM-61,10316,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:05 PM,08/Jan/26 12:03 PM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:p,SCRUM Sprint 0,,,,,,,In Progress,28/Dec/25 4:05 PM
Skeleton loading to better UX,SCRUM-60,10315,Feature,In Review,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:05 PM,31/Dec/25 10:01 AM,,,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00086:,SCRUM Sprint 0,,,,,,,In Progress,28/Dec/25 4:05 PM
Fix Error and confirmation message for user perspective ,SCRUM-59,10314,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:04 PM,30/Dec/25 10:14 AM,,30/Dec/25 10:14 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00085:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:14 AM
Fix error handling in frontend ,SCRUM-58,10313,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:03 PM,30/Dec/25 10:17 AM,,30/Dec/25 10:17 AM,,0,,,Nandan,Vidhya sagar,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,0|i00083:,SCRUM Sprint 0,,,,,29/Dec/25 5:25 PM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1IswnzLHGRhwxbnHf1ivw7HsAAg_PcqZ5KUEF_wiBq0Y/edit?usp=sharing|https://docs.google.com/document/d/1IswnzLHGRhwxbnHf1ivw7HsAAg_PcqZ5KUEF_wiBq0Y/edit?usp=sharing|smart-link] ,,Done,30/Dec/25 10:17 AM
Analytics in dashboard ,SCRUM-57,10312,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,28/Dec/25 4:03 PM,30/Dec/25 10:19 AM,,30/Dec/25 10:19 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00087:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:19 AM
All Line Items and Headings to be aligned to centre. - Manual Order and Upload,SCRUM-56,10279,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,27/Dec/25 2:49 PM,30/Dec/25 10:09 AM,,30/Dec/25 10:09 AM,,0,,,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i0007z:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:09 AM
implement redis,SCRUM-55,10278,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,27/Dec/25 12:00 PM,30/Dec/25 10:13 AM,,30/Dec/25 10:13 AM,,0,,,Vathan,,,712020:26331195-b142-4e76-92ac-0333e0e1fda4,,,,,,,,,,,,,,0|i0001g:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:13 AM
pass timetaken to orders from preorders,SCRUM-54,10277,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,27/Dec/25 11:57 AM,27/Dec/25 2:03 PM,,27/Dec/25 2:03 PM,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,,0|i0000x:v,SCRUM Sprint 0,,,,,,,Done,27/Dec/25 2:03 PM
quick summary frontend,SCRUM-53,10244,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,26/Dec/25 4:22 PM,30/Dec/25 10:17 AM,,30/Dec/25 10:17 AM,,0,,,Nandan,Vathan,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,712020:26331195-b142-4e76-92ac-0333e0e1fda4,,,,,,,,,,,,,0|i0003r:,SCRUM Sprint 0,,,,,29/Dec/25 4:29 PM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1D4v7g42o2RkSMAcMjT3Go2ihahRU22DnajCVwt1k9Ck/edit?usp=sharing|https://docs.google.com/document/d/1D4v7g42o2RkSMAcMjT3Go2ihahRU22DnajCVwt1k9Ck/edit?usp=sharing|smart-link] ,,Done,30/Dec/25 10:17 AM
needs stats for quick summary,SCRUM-52,10243,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Lowest,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,26/Dec/25 4:21 PM,26/Dec/25 4:53 PM,26/Dec/25 4:40 PM,26/Dec/25 4:53 PM,,0,"{{unverified}}

{{review}}

{{locked}}

{{completed}}",,Vathan,,,712020:26331195-b142-4e76-92ac-0333e0e1fda4,,,,,,,,,,,,,,0|i00010:02,SCRUM Sprint 0,,,,,,,Done,26/Dec/25 4:53 PM
View page for Complete Order,SCRUM-51,10242,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,26/Dec/25 11:03 AM,30/Dec/25 10:09 AM,,30/Dec/25 10:09 AM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i0007r:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:09 AM
Pre-Order ID Format?,SCRUM-50,10241,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,26/Dec/25 10:12 AM,26/Dec/25 11:47 AM,,26/Dec/25 11:47 AM,,0,,,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i0000x:r,SCRUM Sprint 0,,,,,,,Done,26/Dec/25 11:47 AM
whatsapp nodejs to python,SCRUM-49,10240,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,26/Dec/25 9:58 AM,27/Dec/25 12:00 PM,,27/Dec/25 12:00 PM,,0,,,Vathan,,,712020:26331195-b142-4e76-92ac-0333e0e1fda4,,,,,,,,,,,,,,0|i0000x:m,SCRUM Sprint 0,,,,,,,Done,27/Dec/25 12:00 PM
Excel format for tally,SCRUM-48,10207,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,24/Dec/25 11:59 AM,24/Dec/25 3:14 PM,,24/Dec/25 3:14 PM,,0,,,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i00073:,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 3:14 PM
Picklist Excel In Orders Complete Page,SCRUM-47,10206,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,24/Dec/25 11:36 AM,27/Dec/25 2:45 PM,,27/Dec/25 2:45 PM,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,,0|i0006v:,SCRUM Sprint 0,,,,,27/Dec/25 11:22 AM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1b79DvLNPHNMK59E-rMLZCJbb5XG1c7XUBvtQuA4q95Y/edit?usp=sharing|https://docs.google.com/document/d/1b79DvLNPHNMK59E-rMLZCJbb5XG1c7XUBvtQuA4q95Y/edit?usp=sharing|smart-link] ,,Done,27/Dec/25 2:45 PM
 Picklist pdf Order Review page,SCRUM-46,10205,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,24/Dec/25 11:34 AM,26/Dec/25 10:45 AM,,26/Dec/25 10:45 AM,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,,0|i0007b:,SCRUM Sprint 0,,,,,24/Dec/25 2:48 PM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1qbM-6zwHcAfP8A2zAwREUx6ErqdrfNpue93--b8haT8/edit?usp=sharing|https://docs.google.com/document/d/1qbM-6zwHcAfP8A2zAwREUx6ErqdrfNpue93--b8haT8/edit?usp=sharing],,Done,26/Dec/25 10:45 AM
Picklist,SCRUM-45,10204,Feature,In Progress,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,24/Dec/25 11:32 AM,24/Dec/25 11:33 AM,,,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,,0|i0006n:,,,,,,,,In Progress,24/Dec/25 11:32 AM
Scalability Concerns,SCRUM-44,10203,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:37 AM,17/Jan/26 10:24 AM,27/Dec/25 2:22 PM,17/Jan/26 10:24 AM,,0,"Current Polling Pattern:

await asyncio.sleep(interval) # Polls every 5 seconds Issues:

Wastes resources when queue is empty Fixed interval regardless of load Multiple workers may cause database contention Better Approaches:

Cloud Pub/Sub: Push-based, event-driven Cloud Tasks: Managed queue with retry Adaptive polling: Increase interval when idle",,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0000x:n,SCRUM Sprint 0,,,,,,,Done,17/Jan/26 10:24 AM
Rate Limiting & API Quotas,SCRUM-43,10202,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:36 AM,17/Jan/26 10:24 AM,27/Dec/25 2:22 PM,17/Jan/26 10:24 AM,,0,"h1. Gemini API calls have no rate limiting

extraction_result = await extract_items_from_media(whatsapp_data) Issues:

No rate limiting for Gemini API Could hit quota limits and fail No backoff strategy No cost monitoring Solutions:

Implement exponential backoff Add rate limiter (e.g., aiolimiter) Monitor API usage in Cloud Monitoring Set budget alerts in GCP


Problem Description
The Gemini API integration lacks proactive protection:

# No Request Rate Limiting - Nothing prevents hitting quota
# No Circuit Breaker - Keeps trying even if Gemini is down
# No Timeout - Hung API calls block workers indefinitely
# No Fallback - All orders fail if Gemini unavailable",,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0000x:mi,SCRUM Sprint 0,,,,,,,Done,17/Jan/26 10:24 AM
Graceful Shutdown,SCRUM-42,10201,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,,,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:36 AM,24/Dec/25 10:43 AM,17/Jan/26 10:24 AM,,,0,"except KeyboardInterrupt: print(f""\nðŸ›‘ Worker {self.worker_id} stopping..."") self.running = False Issues:

Doesn't wait for current job to finish May leave items in ""processing"" state forever No cleanup of database locks Fix Needed:

async def shutdown(self): self.running = False if self.current_task: await self.current_task # Wait for completion

h1. Update any stuck ""processing"" items back to ""pending""",,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0005z:,SCRUM Sprint 0,,,,,,,To Do,24/Dec/25 10:36 AM
Error Handling & Dead Letter Queue,SCRUM-41,10200,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:36 AM,17/Jan/26 10:24 AM,27/Dec/25 2:23 PM,17/Jan/26 10:24 AM,,0,"if whatsapp_data.retry_count >= 3: whatsapp_data.status = 'failed'

h1. Then what? Data is stuck forever

Issues:

Failed items have no recovery path No manual retry mechanism No notification on permanent failures No investigation tools Solutions:

Add a dead letter table/queue Implement admin API to retry failed items Send alerts via Cloud Pub/Sub or email Add forensic logging for failed items",,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0000x:k,SCRUM Sprint 0,,,,,,,Done,17/Jan/26 10:24 AM
Logging & Monitoring,SCRUM-40,10199,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:36 AM,26/Dec/25 10:47 AM,24/Dec/25 1:28 PM,26/Dec/25 10:47 AM,,0,"print(f""âŒ Error processing WhatsApp ID {whatsapp_data.id}: {e}"") Issues:

No structured logging No log aggregation No alerting on failures Hard to debug in production Fix Needed:

import logging import structlog

logger = structlog.get_logger() logger.error(""processing_failed"", whatsapp_id=whatsapp_data.id, error=str(e), retry_count=whatsapp_data.retry_count )",,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0006z:,SCRUM Sprint 0,,,,,"24/Dec/25 1:28 PM;712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d;*Production Logging System Implemented:*

logging_config.py - Core logging configuration with:

structlog for structured logging
Rich console output for dev (colorized, readable)
JSON output for prod (GCP Cloud Logging compatible with severity field)
Auto-detection of environment via K_SERVICE env var (Cloud Run sets this)
Correlation ID context tracking
Performance metrics decorator
*middleware.py - FastAPI middleware for:*

Auto-generating/extracting correlation IDs from X-Correlation-ID header
Request/response logging with duration metrics
Slow request detection (>1s threshold)
*Updated files (logging only, no logic changes):*

main.py - Added middleware and startup/shutdown logging
worker.py - Replaced prints with structured logs
routers/whatsapp.py - Replaced prints
routers/pre_orders.py - Replaced print
services/gemini_service.py - Replaced prints
services/matching_service_enhanced.py - Replaced prints
services/matching_service_v2.py - Replaced prints
services/matching_service.py - Replaced prints
services/download_service.py - Replaced prints
services/pack_calculator.py - Replaced print
database.py - Added connection error logging
seed_data.py - Replaced prints
*Dependencies added to requirements.txt:*

structlog>=24.1.0
rich>=13.7.0",,Done,26/Dec/25 10:47 AM
